,item_name,recommendation1,recommendation2,recommendation3,recommendation4,recommendation5
59,Mango Grapefruit Water,Unsweetened Watermelon Water,NA,NA,NA,NA
60,Organic Atage 3 Nibbly Fingers Mangoes Carrots,Apples + Strawberries Organic Nibbly Fingers,Organic Whole Milk,Organic Strawberries,Bag of Organic Bananas,Banana
61,"Bananas, Raspberries & Oats Organic Baby Food","Apples, Kale & Avocados Organic Baby Food",Bag of Organic Bananas,Banana,NA,NA
62,Pumpkin & Spinach Stage 2 Baby Food,Squash & Sweet Peas Stage 2,Bag of Organic Bananas,Banana,NA,NA
63,Unsweetened Blackberry Water,Raspberry Essence Water,Unsweetened Watermelon Water,Bag of Organic Bananas,NA,NA
64,Organic Greek Whole Milk Blended Strawberry Yogurt,Greek Whole Milk Blended Blueberry Yogurt,Organic Blended Raspberry Whole Milk Greek Yogurt,Whole Milk Greek Blended Vanilla Bean Yogurt,Bag of Organic Bananas,Organic Hass Avocado
65,Lime Ginger Lemon Agave,Lemon Cayenne Agave Cold Pressed Juice Beverage,NA,NA,NA,NA
66,Peanut Butter Egg White Protein Bar,Chocolate Sea Salt,Coconut  Chocolate Bar,Bag of Organic Bananas,Banana,NA
67,Organic Strawberry Banana Fruit Yogurt Smoothie,Organic Fruit Yogurt Smoothie Mixed Berry,Banana,Organic Strawberries,Bag of Organic Bananas,NA
68,Almond Milk Blueberry Yogurt,Almond Milk Strawberry Yogurt,Almond Milk Peach Yogurt,Vanilla Almond Milk Yogurt,Organic Hass Avocado,Bag of Organic Bananas
69,"Apples, Kale & Avocados Organic Baby Food","Pears, Kale & Spinach Organic Baby Food",Organic Hass Avocado,Bag of Organic Bananas,Banana,NA
70,Yokids Organic Strawberry Banana Lowfat Yogurt Squeeze,YoKids Squeeze Organic Blueberry Blue Yogurt,YoKids Squeeze! Organic Strawberry Flavor Yogurt,Bag of Organic Bananas,Banana,NA
71,Organic Apple & Butternut Squash Baby Food,Organic Stage 4 Green Bean Pear & Pea Baby Food,"Sweeet Potato, Apple, Carrot & Cinnamon Organic Superfoods",Banana,NA,NA
72,Cream Top Strawberry on the Bottom Yogurt,Cream Top Blueberry Yogurt,Cream Top Smooth & Creamy Maple Yogurt,Banana,Bag of Organic Bananas,NA
73,"Organic Apples, Carrots and Parsnips Puree",Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food,Organic 4 Months Butternut Squash Carrots Apples + Prunes Baby Food,"Organic Pears, Peas and Broccoli Puree Stage 1",Stage 1 Apples & Strawberries Organic Pureed Baby Food,Banana
74,Nutty for 'Nana Low-Fat Greek Yogurt,Flip™ Low-Fat Almond Coco Loco Lowfat Greek Yogurt,NA,NA,NA,NA
75,Total 2% with Raspberry Pomegranate Lowfat Greek Strained Yogurt,Blackberry Yogurt,Total 2% Lowfat Greek Strained Yogurt with Peach,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% with Strawberry Lowfat Greek Strained Yogurt
76,Santa Fe Fiesta Salad,Tuscan Kale & Quinoa Salad,Banana,NA,NA,NA
77,Original Mountain Blueberry Low Fat Yogurt,Original Strawberry Low Fat Yogurt,Banana,NA,NA,NA
78,Stage 1 Apples & Strawberries Organic Pureed Baby Food,Organic Stage 2 Peaches & Bananas Baby Food,Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food,"Organic Pears, Peas and Broccoli Puree Stage 1",Organic Whole Milk,Organic Strawberries
79,Organic 4 Months Butternut Squash Carrots Apples + Prunes Baby Food,Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food,"Organic Pears, Peas and Broccoli Puree Stage 1","Organic Apples, Carrots and Parsnips Puree",Organic Stage 2 Peaches & Bananas Baby Food,Organic Whole Milk
80,Almond Milk Peach Yogurt,Almond Milk Strawberry Yogurt,Almond Milk Blueberry Yogurt,Vanilla Almond Milk Yogurt,Organic Hass Avocado,Bag of Organic Bananas
81,"Sparkling Mineral Water, Natural Lemon Flavor",Natural Lime Flavor Sparkling Mineral Water,NA,NA,NA,NA
82,Zero Vitamin Water,VitaminWater Zero™ XXX Acai Blueberry Pomegranate,NA,NA,NA,NA
83,Cherry Vanilla Cherry On The Bottom Cream Top,Cream Top Strawberry on the Bottom Yogurt,NA,NA,NA,NA
84,Maple Glazed Pecan & Sea Salt Bar,Caramel Almond and Sea Salt Nut Bar,Banana,NA,NA,NA
85,Organic Sunny Days Apple Snack Bars,Sunny Days Strawberry Snack Bars,Organic Whole Milk,Organic Strawberries,Bag of Organic Bananas,Banana
86,Almond & Apricot Bar,Plus Cranberry Almond + Antioxidants with Macadamia Nuts Bar,Banana,NA,NA,NA
87,Non-Fat Blueberry on the Bottom Greek Yogurt,Non-Fat Greek Yogurt With Strawberries on the Bottom,Banana,NA,NA,NA
88,Teriyaki Chicken Bowl,Fire Grilled Steak Bowl,Banana,NA,NA,NA
89,Strained Whole-Milk Yogurt Blueberry,Mixed Berries Whole Milk Icelandic Style Skyr Yogurt,Strawberry Rhubarb Yogurt,Vanilla Skyr Style Yogurt,NA,NA
90,Carob Chip,Peanut Butter Bar,NA,NA,NA,NA
91,YoKids Squeeze Organic Blueberry Blue Yogurt,Yokids Organic Strawberry Banana Lowfat Yogurt Squeeze,YoKids Squeeze! Organic Strawberry Flavor Yogurt,Organic Strawberries,Banana,Bag of Organic Bananas
92,Pineapple Yogurt 2%,Blackberry Yogurt,Total 2% Lowfat Greek Strained Yogurt with Peach,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% with Strawberry Lowfat Greek Strained Yogurt
93,Apples + Strawberries Organic Nibbly Fingers,Organic Atage 3 Nibbly Fingers Mangoes Carrots,Organic Whole Milk,Organic Strawberries,Organic Hass Avocado,Bag of Organic Bananas
94,Coconut Chia Bar,Chocolate Peanut Butter,Acai Berry Chia Bar,Organic Hass Avocado,Bag of Organic Bananas,Banana
95,Sunny Days Strawberry Snack Bars,Organic Sunny Days Apple Snack Bars,Organic Whole Milk,Organic Strawberries,Bag of Organic Bananas,Banana
96,Organic Stage 2 Peaches & Bananas Baby Food,Stage 1 Apples & Strawberries Organic Pureed Baby Food,Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food,"Organic Pears, Peas and Broccoli Puree Stage 1",Organic Whole Milk,Organic Hass Avocado
97,Unsweetened Watermelon Water,Unsweetened Blackberry Water,Raspberry Essence Water,Banana,Bag of Organic Bananas,NA
98,Blackberry Yogurt,Total 2% with Raspberry Pomegranate Lowfat Greek Strained Yogurt,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,Total 2% Lowfat Greek Strained Yogurt with Peach,Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 0% Raspberry Yogurt
99,Lowfat Key Lime Yogurt,Organic Lemon Lowfat Yogurt,Organic Lowfat Yogurt Banana Vanilla,Organic Raspberry Lowfat Yogurt,"Yogurt, Lowfat, Strawberry",Organic Strawberries
100,Organic Baby Food Banana Beet & Blueberry,"Happy Baby Spinach, Mango, and Pear Baby Food",Bag of Organic Bananas,Banana,NA,NA
101,Banana Bread Fruit & Nut Bar,Lemon Fruit & Nut Food Bar,Blueberry Muffin Bar,Apple Pie Fruit & Nut Food Bar,Banana,NA
102,Chocolate Peanut Butter,Coconut Chia Bar,Acai Berry Chia Bar,Banana,Bag of Organic Bananas,Organic Baby Spinach
103,Natural Lime Flavor Sparkling Mineral Water,"Sparkling Mineral Water, Natural Lemon Flavor",Banana,NA,NA,NA
104,Organic Gluten Free Cranberry Crunch Bar,Peanut Butter Bar,NA,NA,NA,NA
105,Almond Milk Strawberry Yogurt,Almond Milk Peach Yogurt,Almond Milk Blueberry Yogurt,Vanilla Almond Milk Yogurt,Organic Hass Avocado,Bag of Organic Bananas
106,Organic Stage 2 Broccoli Pears & Peas Baby Food,"Happy Baby Spinach, Mango, and Pear Baby Food",Bag of Organic Bananas,Banana,NA,NA
107,Harvest Peach Yogurt,Original Strawberry Low Fat Yogurt,Banana,NA,NA,NA
108,Pomegranate on the Bottom Non-Fat Greek Yogurt,Low-Fat Mango on the Bottom Greek Yogurt,Non Fat Black Cherry on the Bottom Greek Yogurt,Raspberry on the Bottom Nonfat Greek Yogurt,Peach on the Bottom Nonfat Greek Yogurt,Blueberry on the Bottom Nonfat Greek Yogurt
109,Natural Lemon Flavored Sparkling Water,Lemon Sparkling Water,Grapefruit Sparkling Water,NA,NA,NA
110,Organic Whole Milk Strawberry Beet Berry Yogurt Pouch,Yotoddler Organic Pear Spinach Mango Yogurt,Blueberry Whole Milk Yogurt Pouch,Yo Baby Organic Vanilla Yogurt,YoKids Squeeze! Organic Strawberry Flavor Yogurt,Organic Whole Milk
111,Pecan Pie Fruit & Nut Food Bar,Coconut Cream Pie,Blueberry Muffin Bar,Apple Pie Fruit & Nut Food Bar,NA,NA
112,"Almond Coconut Bar, Organic",Peanut Butter Bar,NA,NA,NA,NA
113,Non-Fat Greek Yogurt With Strawberries on the Bottom,Non-Fat Blueberry on the Bottom Greek Yogurt,Banana,NA,NA,NA
114,Chocolate Sea Salt,Coconut  Chocolate Bar,Peanut Butter Egg White Protein Bar,Bag of Organic Bananas,Organic Hass Avocado,Organic Baby Spinach
115,Peach Yoghurt,Mango Yoghurt,Blueberry Yoghurt,Raspberry Yoghurt,Strawberry Rhubarb Yoghurt,Coconut Yoghurt
116,Original Strawberry Banana Yogurt,Original Strawberry Low Fat Yogurt,Banana,NA,NA,NA
117,Organic Nonfat Greek Yogurt With Raspberries,Organic Nonfat Greek Yogurt With Peaches,Organic Greek Nonfat Yogurt With Mixed Berries,Organic Greek Lowfat Yogurt With Strawberries,Organic Greek Lowfat Yogurt With Blueberries,Bag of Organic Bananas
118,Pineapple on the Bottom Greek Yogurt,Low-Fat Mango on the Bottom Greek Yogurt,Low-Fat Strawberry Banana on the Bottom Greek Yogurt,Non Fat Black Cherry on the Bottom Greek Yogurt,Peach on the Bottom Nonfat Greek Yogurt,Blueberry on the Bottom Nonfat Greek Yogurt
119,Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food,"Organic Pears, Peas and Broccoli Puree Stage 1","Organic Apples, Carrots and Parsnips Puree",Organic 4 Months Butternut Squash Carrots Apples + Prunes Baby Food,Stage 1 Apples & Strawberries Organic Pureed Baby Food,Organic Stage 2 Peaches & Bananas Baby Food
120,Stage 2 Sweet Potato Corn & Apple Baby Food,Baby Food Stage 2 Pumpkin Banana,Apple and Carrot Stage 2 Baby Food,"Peach,  Apricot & Banana Stage 2 Baby Food",Spinach Peas & Pear Stage 2 Baby Food,Broccoli & Apple Stage 2 Baby Food
121,Almond Butter,Peanut Butter Bar,Organic Hass Avocado,Bag of Organic Bananas,Banana,NA
122,Chocolate Coconut Chew Flavored Bar,Coconut Cream Pie,Peanut Butter Chocolate Chip Fruit & Nut Food Bar,Blueberry Muffin Bar,Cherry Pie Fruit & Nut Bar,Apple Pie Fruit & Nut Food Bar
123,Flip™ Low-Fat Key Lime Crumble Greek Yogurt,Flip™ Low-Fat Almond Coco Loco Lowfat Greek Yogurt,Banana,NA,NA,NA
124,Zero Go-Go Mixed Berry Vitamin Water,Vitamin Water Zero Rise Orange,Vitamin Water Zero Squeezed Lemonade,NA,NA,NA
125,Organic Greek Lowfat Yogurt With Blueberries,Organic Greek Lowfat Yogurt With Strawberries,Organic Greek Lowfat Yogurt With Cherries,Organic Nonfat Greek Yogurt With Peaches,Organic Greek Nonfat Yogurt With Mixed Berries,Bag of Organic Bananas
126,Organic Stage 4 Green Bean Pear & Pea Baby Food,Organic Stage 4 Spinach Mango & Pear Baby Food,"Sweeet Potato, Apple, Carrot & Cinnamon Organic Superfoods",Organic Whole Milk,Organic Hass Avocado,Bag of Organic Bananas
127,Banana & Mango Organic Yogurt & Fruit Snacks ,Organic Strawberry Yogurt & Fruit Snack,Organic Mixed Berry Yogurt & Fruit Snack,Organic Whole Milk,Organic Strawberries,Organic Hass Avocado
128,Blueberry Whole Milk Yogurt Pouch,Yotoddler Organic Pear Spinach Mango Yogurt,Organic Whole Milk Strawberry Beet Berry Yogurt Pouch,Yo Baby Organic Vanilla Yogurt,YoKids Squeeze! Organic Strawberry Flavor Yogurt,Organic Whole Milk
129,Lowfat Blueberry Yogurt,Organic Raspberry Lowfat Yogurt,"Yogurt, Lowfat, Strawberry",Organic Peach Lowfat Yogurt,Lowfat Vanilla Yogurt,Organic Strawberries
130,Organic Peach Oo La Long Tea,Moroccan Mint Green Tea,Bag of Organic Bananas,Banana,NA,NA
131,Apple and Carrot Stage 2 Baby Food,Pear & Mango Stage 2 Baby Food,Baby Food Stage 2 Pumpkin Banana,Broccoli & Apple Stage 2 Baby Food,Baby Food Stage 2 Blueberry Pear & Purple Carrot,"Peach,  Apricot & Banana Stage 2 Baby Food"
132,Organic Greek Lowfat Yogurt With Cherries,Organic Greek Lowfat Yogurt With Blueberries,Organic Greek Lowfat Yogurt With Strawberries,Organic Nonfat Greek Yogurt With Peaches,Organic Greek Nonfat Yogurt With Mixed Berries,Bag of Organic Bananas
133,Organic Lemon Lowfat Yogurt,Lowfat Key Lime Yogurt,Organic Peach Lowfat Yogurt,Organic Raspberry Lowfat Yogurt,"Yogurt, Lowfat, Strawberry",Organic Strawberries
134,Organic Peach Lowfat Yogurt,Lowfat Blueberry Yogurt,"Yogurt, Lowfat, Strawberry",Organic Raspberry Lowfat Yogurt,Lowfat Key Lime Yogurt,Organic Lowfat Yogurt Banana Vanilla
135,"Sweeet Potato, Apple, Carrot & Cinnamon Organic Superfoods",Organic Stage 4 Spinach Mango & Pear Baby Food,Organic Stage 4 Green Bean Pear & Pea Baby Food,Organic Whole Milk,Organic Hass Avocado,Organic Strawberries
136,Yotoddler Organic Pear Spinach Mango Yogurt,Organic Whole Milk Strawberry Beet Berry Yogurt Pouch,Blueberry Whole Milk Yogurt Pouch,Organic Whole Milk,Banana,Organic Strawberries
137,Blueberry on the Bottom Nonfat Greek Yogurt,Strawberry on the Bottom Nonfat Greek Yogurt,Raspberry on the Bottom Nonfat Greek Yogurt,Peach on the Bottom Nonfat Greek Yogurt,Non Fat Black Cherry on the Bottom Greek Yogurt,Low-Fat Strawberry Banana on the Bottom Greek Yogurt
138,Vitamin Water Zero Rise Orange,Vitamin Water Zero Squeezed Lemonade,VitaminWater Zero™ XXX Acai Blueberry Pomegranate,Banana,NA,NA
139,Low-Fat Mango on the Bottom Greek Yogurt,Low-Fat Strawberry Banana on the Bottom Greek Yogurt,Pineapple on the Bottom Greek Yogurt,Raspberry on the Bottom Nonfat Greek Yogurt,Peach on the Bottom Nonfat Greek Yogurt,Blueberry on the Bottom Nonfat Greek Yogurt
140,YoKids Squeeze! Organic Strawberry Flavor Yogurt,YoKids Squeeze Organic Blueberry Blue Yogurt,Yokids Organic Strawberry Banana Lowfat Yogurt Squeeze,Blueberry Whole Milk Yogurt Pouch,Yotoddler Organic Pear Spinach Mango Yogurt,Organic Whole Milk Strawberry Beet Berry Yogurt Pouch
141,"Organic Pears, Peas and Broccoli Puree Stage 1","Organic Apples, Carrots and Parsnips Puree",Stage 1 Apples Sweet Potatoes Pumpkin & Blueberries Organic Pureed Baby Food,Organic 4 Months Butternut Squash Carrots Apples + Prunes Baby Food,Organic Stage 2 Peaches & Bananas Baby Food,Stage 1 Apples & Strawberries Organic Pureed Baby Food
142,Non Fat Black Cherry on the Bottom Greek Yogurt,Blueberry on the Bottom Nonfat Greek Yogurt,Raspberry on the Bottom Nonfat Greek Yogurt,Peach on the Bottom Nonfat Greek Yogurt,Low-Fat Mango on the Bottom Greek Yogurt,Strawberry on the Bottom Nonfat Greek Yogurt
143,Moroccan Mint Green Tea,Organic Peach Oo La Long Tea,Bag of Organic Bananas,NA,NA,NA
144,Vanilla Almond Milk Yogurt,Almond Milk Strawberry Yogurt,Almond Milk Peach Yogurt,Almond Milk Blueberry Yogurt,Organic Hass Avocado,Bag of Organic Bananas
145,Organic Strawberry Yogurt & Fruit Snack,Banana & Mango Organic Yogurt & Fruit Snacks ,Organic Mixed Berry Yogurt & Fruit Snack,Organic Whole Milk,Organic Hass Avocado,Organic Strawberries
146,Yo Baby Organic Vanilla Yogurt,Blueberry Whole Milk Yogurt Pouch,Yotoddler Organic Pear Spinach Mango Yogurt,Organic Whole Milk Strawberry Beet Berry Yogurt Pouch,Organic Strawberries,Bag of Organic Bananas
147,Peanut Butter & Jelly Fruit & Nut Food Bar,Blueberry Muffin Bar,Peanut Butter Cookie,Cherry Pie Fruit & Nut Bar,Peanut Butter Chocolate Chip Fruit & Nut Food Bar,Apple Pie Fruit & Nut Food Bar
148,Pear & Mango Stage 2 Baby Food,"Peach,  Apricot & Banana Stage 2 Baby Food",Baby Food Stage 2 Pumpkin Banana,Apple and Carrot Stage 2 Baby Food,Baby Food Stage 2 Blueberry Pear & Purple Carrot,Spinach Peas & Pear Stage 2 Baby Food
149,Lime Slim Can,Slim Can Pink Grapefruit Natural Mineral Water,NA,NA,NA,NA
150,Lemon Fruit & Nut Food Bar,Blueberry Muffin Bar,Coconut Cream Pie,Cherry Pie Fruit & Nut Bar,Apple Pie Fruit & Nut Food Bar,Peanut Butter Chocolate Chip Fruit & Nut Food Bar
151,"Peach,  Apricot & Banana Stage 2 Baby Food",Baby Food Stage 2 Pumpkin Banana,Pear & Mango Stage 2 Baby Food,Baby Food Stage 2 Blueberry Pear & Purple Carrot,Apple and Carrot Stage 2 Baby Food,Spinach Peas & Pear Stage 2 Baby Food
152,Strawberry Rhubarb Yogurt,Mixed Berries Whole Milk Icelandic Style Skyr Yogurt,Vanilla Skyr Style Yogurt,Non Fat Acai & Mixed Berries Yogurt,Non Fat Raspberry Yogurt,"Yogurt, Strained Low-Fat, Coconut"
153,Low-Fat Strawberry Banana on the Bottom Greek Yogurt,Low-Fat Mango on the Bottom Greek Yogurt,Raspberry on the Bottom Nonfat Greek Yogurt,Blueberry on the Bottom Nonfat Greek Yogurt,Strawberry on the Bottom Nonfat Greek Yogurt,Peach on the Bottom Nonfat Greek Yogurt
